COA,y2005,y2006,y2007,y2008,houses
00JANS0010,0,0,3,4,136
00JANS0011,2,3,1,1,135
00JANS0012,1,1,2,4,132
00JANS0013,0,2,2,3,134
00JANS0014,1,0,5,2,132
00JANS0015,1,3,2,2,130
00JANS0016,0,2,2,0,113
00JANS0017,1,2,6,4,138
00JANS0018,0,2,2,7,120
00JANS0019,4,3,4,9,111
00JANS0020,2,0,8,4,158
00JANS0021,0,1,1,0,131
00JANS0022,4,1,5,8,130
00JANS0023,3,2,1,3,126
00JANS0024,3,7,1,2,132
00JANS0025,4,0,5,6,106
00JANS0026,0,2,4,4,142
00JANS0027,0,0,4,16,147
00JANT0001,3,0,3,2,121
00JANT0002,0,0,0,0,124
00JANT0003,1,1,1,1,127
00JANT0004,3,4,3,1,117
00JANT0005,0,3,3,1,126
00JANT0006,1,0,3,0,135
00JANT0007,3,3,6,10,137
00JANT0008,0,1,4,10,154
00JANT0009,0,0,1,1,153
00JANT0010,0,0,0,3,105
00JANT0011,0,0,0,2,143
00JANT0012,0,0,1,1,108
00JANT0013,0,1,1,1,116
00JANT0014,0,2,2,6,120
00JANT0015,0,1,2,4,108
00JANT0016,2,1,2,3,119
00JANT0017,4,2,3,5,111
00JANT0018,0,1,2,0,134
00JANT0019,3,0,2,3,123
00JANT0020,0,0,0,1,148
00JANT0021,3,0,6,4,128
00JANT0022,1,2,6,4,118
00JANT0023,2,0,1,2,134
00JANT0024,6,1,7,10,143
00JANT0025,2,3,5,5,135
00JANT0026,0,1,4,2,129
00JANT0027,5,0,1,1,127
00JANT0028,4,3,4,4,104
00JANU0001,1,1,1,1,125
00JANU0002,4,0,1,6,135
00JANU0003,2,1,6,2,127
00JANU0004,4,0,5,3,128
00JANU0005,0,1,3,2,111
00JANU0006,5,2,11,9,127
00JANU0007,1,0,2,0,130
00JANU0008,2,0,2,4,126
00JANU0009,4,4,0,4,128
00JANU0010,3,1,3,6,128
00JANU0011,4,1,3,4,136
00JANU0012,1,1,2,2,122
00JANU0013,0,1,6,2,124
00JANU0014,1,2,8,4,133
00JANU0015,0,1,2,2,124
00JANU0016,1,0,1,0,117
00JANU0017,1,1,1,0,123
00JANU0018,3,1,4,2,126
00JANU0019,2,5,8,2,147
00JANU0020,1,0,4,5,110
00JANU0021,1,0,0,0,127
00JANU0022,0,2,6,4,127
00JANU0023,3,0,3,4,122
00JANW0001,3,0,0,0,132
00JANW0002,0,1,1,1,142
00JANW0003,0,0,2,1,124
00JANW0004,3,3,4,1,138
00JANW0005,0,1,0,5,137
00JANW0006,1,2,3,3,104
00JANW0007,1,0,4,1,116
00JANW0008,0,0,0,0,120
00JANW0009,0,0,2,0,126
00JANW0010,2,1,1,2,118
00JANW0011,0,2,2,2,138
00JANW0012,0,1,1,2,114
00JANW0013,2,0,1,2,115
00JANW0014,0,0,1,0,116
00JANW0015,0,2,1,0,124
00JANW0016,1,3,4,1,117
00JANW0017,1,0,2,4,116
00JANW0018,0,2,1,2,118
00JANW0019,0,0,0,0,122
00JANW0020,0,0,0,0,124
00JANW0021,0,0,0,0,133
00JANW0022,0,0,1,0,127
00JANW0023,0,0,4,0,129
00JANW0024,2,2,4,4,142
00JANW0025,3,2,0,6,115
00JANW0026,0,3,1,2,127
00JANW0027,2,0,2,1,127
