COA,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,houses
00JANT0019,3,2,3,0,3,0,2,3,123
00JANT0020,1,5,0,0,0,0,0,1,148
00JANT0021,5,6,5,2,3,0,6,4,128
00JANT0022,5,6,6,4,1,2,6,4,118
00JANT0023,0,4,0,0,2,0,1,2,134
00JANT0024,2,4,3,2,6,1,7,10,143
00JANT0025,3,9,4,8,2,3,5,5,135
00JANT0026,0,2,3,1,0,1,4,2,129
00JANT0027,1,8,4,0,5,0,1,1,127
00JANT0028,6,2,3,3,4,3,4,4,104
00JANU0001,0,0,0,3,1,1,1,1,125
00JANU0002,6,18,10,4,4,0,1,6,135
00JANU0003,5,4,2,0,2,1,6,2,127
00JANU0004,6,5,2,2,4,0,5,3,128
00JANU0005,7,5,4,3,0,1,3,2,111
00JANU0006,10,9,7,6,5,2,11,9,127
00JANU0007,4,7,8,8,1,0,2,0,130
00JANU0008,6,6,8,5,2,0,2,4,126
00JANU0009,2,9,4,6,4,4,0,4,128
00JANU0010,5,5,4,3,3,1,3,6,128
00JANU0011,8,5,1,1,4,1,3,4,136
00JANU0012,1,0,1,1,1,1,2,2,122
00JANU0013,1,4,5,2,0,1,6,2,124
00JANU0014,6,1,1,0,1,2,8,4,133
00JANU0015,0,1,3,0,0,1,2,2,124
00JANU0016,2,2,1,4,1,0,1,0,117
00JANU0017,1,5,3,0,1,1,1,0,123
00JANU0018,3,10,4,3,3,1,4,2,126
00JANU0019,5,7,5,1,2,5,8,2,147
00JANU0020,4,5,2,1,1,0,4,5,110
00JANU0021,0,2,2,2,1,0,0,0,127
00JANU0022,2,5,4,4,0,2,6,4,127
00JANU0023,4,7,2,1,3,0,3,4,122
00JANW0001,0,1,3,0,3,0,0,0,132
00JANW0002,0,0,1,0,0,1,1,1,142
00JANW0003,1,3,0,0,0,0,2,1,124
00JANW0004,7,5,9,0,3,3,4,1,138
00JANW0005,4,2,0,3,0,1,0,5,137
00JANW0006,3,3,1,0,1,2,3,3,104
00JANW0007,1,3,4,2,1,0,4,1,116
00JANW0008,0,2,0,0,0,0,0,0,120
00JANW0009,0,1,1,1,0,0,2,0,126
00JANW0010,2,3,1,1,2,1,1,2,118
00JANW0011,0,2,2,0,0,2,2,2,138
00JANW0012,2,1,1,0,0,1,1,2,114
00JANW0013,2,4,0,0,2,0,1,2,115
00JANW0014,1,1,1,0,0,0,1,0,116
00JANW0015,1,0,1,0,0,2,1,0,124
00JANW0016,2,0,0,0,1,3,4,1,117
00JANW0017,2,2,1,0,1,0,2,4,116
00JANW0018,0,4,1,0,0,2,1,2,118
00JANW0019,0,1,0,0,0,0,0,0,122
00JANW0020,1,1,1,0,0,0,0,0,124
00JANW0021,0,1,2,0,0,0,0,0,133
00JANW0022,0,0,0,0,0,0,1,0,127
00JANW0023,3,6,7,2,0,0,4,0,129
00JANW0024,4,4,4,3,2,2,4,4,142
00JANW0025,1,1,2,2,3,2,0,6,115
00JANW0026,2,5,2,3,0,3,1,2,127
00JANW0027,4,1,2,0,2,0,2,1,127
00JANW0028,5,10,11,2,5,3,7,2,139
00JANW0029,5,2,6,1,0,2,4,2,151
00JANW0030,8,6,8,6,4,0,7,3,149
00JANX0001,1,7,1,1,0,0,3,1,146
00JANX0002,0,0,0,0,0,0,1,0,118
00JANX0003,1,2,3,0,0,0,0,0,130
00JANX0004,0,3,2,0,0,0,0,5,140
00JANX0005,2,2,2,0,0,0,2,1,123
00JANX0006,4,1,1,4,0,0,1,2,108
00JANX0007,3,10,2,1,1,4,7,2,162
00JANX0008,1,0,2,0,0,1,1,0,114
00JANX0009,2,1,1,0,3,1,3,0,130
00JANX0010,2,4,0,0,1,1,0,5,142
00JANY0001,5,4,1,1,1,1,0,3,125
00JANY0002,1,2,1,0,0,2,1,1,129
00JANY0003,0,6,1,2,2,0,1,1,132
00JANY0004,2,2,6,2,2,0,1,2,124
00JANY0005,1,2,3,2,3,0,3,2,138
00JANY0006,1,0,3,0,1,1,1,2,116
00JANY0007,3,2,1,1,1,0,1,2,134
00JANY0008,1,0,3,1,1,1,2,0,114
00JANY0009,0,3,3,1,3,1,1,4,125
00JANY0010,1,6,2,0,0,1,1,6,122
00JANY0011,2,2,0,2,2,0,1,0,127
00JANY0012,1,2,4,0,0,2,4,2,134
00JANY0013,5,2,0,1,0,1,5,12,130
00JANY0014,2,1,1,1,1,1,10,1,121
00JANY0015,0,1,1,2,2,1,0,2,122
00JANY0016,8,4,4,2,5,1,2,5,143
00JANY0017,1,4,1,1,0,0,0,3,138
00JANY0018,1,2,2,1,2,1,3,0,118
00JANY0019,2,3,4,0,2,1,6,2,107
00JANZ0001,1,3,1,3,0,3,0,2,139
00JANZ0002,1,0,2,0,0,1,0,0,124
00JANZ0003,2,4,2,0,1,1,1,1,102
00JANZ0004,0,2,3,1,0,0,0,4,139
00JANZ0005,1,1,1,1,0,1,0,1,106
00JANZ0006,3,3,2,2,0,0,4,1,135
00JANZ0007,0,2,0,1,0,0,0,0,121
00JANZ0008,1,0,2,2,2,1,1,0,135
00JANZ0009,3,2,2,2,1,1,1,1,136
00JANZ0010,1,0,5,0,1,0,2,1,164
00JANZ0011,1,2,2,3,5,1,1,6,105
00JANZ0012,1,6,7,4,0,3,5,2,161
00JANZ0013,0,3,2,1,0,1,4,4,129
00JANZ0014,1,2,1,0,1,0,1,0,147
00JANZ0015,0,0,0,2,0,0,2,4,131
00JANZ0016,3,5,2,1,0,0,0,0,120
00JANZ0017,1,0,1,0,1,0,0,4,105
